Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2000","2000","kg/ha","969.1","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2001","2001","kg/ha","964","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2002","2002","kg/ha","320.4","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2003","2003","kg/ha","839.7","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2004","2004","kg/ha","806.4","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2005","2005","kg/ha","910.7","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2006","2006","kg/ha","774.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2007","2007","kg/ha","545.5","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2008","2008","kg/ha","873.8","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2009","2009","kg/ha","975","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2010","2010","kg/ha","1076.4","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2011","2011","kg/ha","609.3","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2012","2012","kg/ha","976.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2013","2013","kg/ha","739","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2014","2014","kg/ha","761.8","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2015","2015","kg/ha","924.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2016","2016","kg/ha","817","X","Valeur de source externe",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2017","2017","kg/ha","1120.5","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2018","2018","kg/ha","1322.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2019","2019","kg/ha","1279.4","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","2020","2020","kg/ha","1467.2","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2000","2000","kg/ha","1111.4","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2001","2001","kg/ha","1227.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2002","2002","kg/ha","743.4","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2003","2003","kg/ha","2283.4","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2004","2004","kg/ha","2719.4","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2005","2005","kg/ha","2796.1","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2006","2006","kg/ha","1391.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2007","2007","kg/ha","1100.8","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2008","2008","kg/ha","1835.1","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2009","2009","kg/ha","1630","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2010","2010","kg/ha","1538.4","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2011","2011","kg/ha","1133.1","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2012","2012","kg/ha","1546.5","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2013","2013","kg/ha","1442.8","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2014","2014","kg/ha","1221.2","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2015","2015","kg/ha","1525.3","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2016","2016","kg/ha","1824.8","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2017","2017","kg/ha","1771.4","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2018","2018","kg/ha","1935.8","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2019","2019","kg/ha","2053.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2020","2020","kg/ha","2654.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2000","2000","kg/ha","712.7","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2001","2001","kg/ha","694.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2002","2002","kg/ha","506.1","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2003","2003","kg/ha","732.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2004","2004","kg/ha","471.3","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2005","2005","kg/ha","760","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2006","2006","kg/ha","660.6","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2007","2007","kg/ha","464.2","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2008","2008","kg/ha","767.5","A","Valeur officielle",""
