-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2020 in LST
Location: Latitude  14.7   Longitude -17.04 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 16.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2000,0.94,0.85,0.0,0.16,0.34,5.28,69.39,119.89,97.82,87.97,0.08,0.24,382.96
PRECTOTCORR_SUM,2001,0.01,0.43,0.01,0.08,0.19,10.44,91.73,120.88,81.42,10.05,4.36,0.62,320.22
PRECTOTCORR_SUM,2002,20.64,0.46,0.83,0.07,0.2,10.16,8.75,101.96,101.12,33.37,0.5,3.27,281.33
PRECTOTCORR_SUM,2003,0.29,0.43,0.09,0.63,0.19,20.26,57.57,139.07,150.07,54.05,0.11,0.44,423.2
PRECTOTCORR_SUM,2004,2.18,0.05,0.23,0.49,0.7,16.81,65.47,161.97,131.07,18.3,4.22,0.38,401.87
PRECTOTCORR_SUM,2005,0.44,8.08,0.24,1.13,1.51,30.82,147.28,220.36,157.46,72.93,0.49,0.3,641.04
PRECTOTCORR_SUM,2006,21.31,2.86,0.3,0.04,1.94,21.01,63.8,212.21,191.29,60.72,0.42,0.86,576.76
PRECTOTCORR_SUM,2007,0.12,0.05,0.68,0.51,1.3,7.47,93.14,199.64,189.57,18.43,0.3,0.27,511.48
PRECTOTCORR_SUM,2008,0.69,9.54,0.03,0.07,1.42,22.73,214.29,309.67,206.82,43.81,0.11,0.09,809.27
PRECTOTCORR_SUM,2009,0.25,0.96,0.11,0.07,0.24,23.01,155.01,395.77,222.91,27.95,4.66,1.75,832.69
PRECTOTCORR_SUM,2010,0.24,0.06,0.12,0.26,0.58,65.02,111.36,165.52,286.84,45.43,1.12,0.13,676.68
PRECTOTCORR_SUM,2011,0.38,0.49,0.08,0.09,0.32,22.92,66.54,272.34,111.88,34.3,0.15,0.37,509.86
PRECTOTCORR_SUM,2012,0.18,1.53,6.9,1.56,1.19,12.69,80.67,161.67,177.62,24.33,0.9,0.19,469.43
PRECTOTCORR_SUM,2013,0.83,0.1,0.17,0.13,0.6,13.69,92.4,266.76,141.42,38.67,3.1,4.48,562.35
PRECTOTCORR_SUM,2014,1.8,0.02,0.43,0.3,0.53,34.27,37.73,197.1,165.46,34.96,0.16,1.55,474.31
PRECTOTCORR_SUM,2015,27.66,7.12,8.49,1.62,2.17,5.61,99.52,236.77,223.15,151.22,6.36,24.16,793.85
PRECTOTCORR_SUM,2016,0.09,0.5,0.32,1.58,2.0,13.58,107.41,150.77,168.28,12.19,29.65,0.32,486.69
PRECTOTCORR_SUM,2017,0.16,4.97,4.64,0.61,5.29,39.02,114.08,159.31,84.87,22.95,1.72,0.2,437.82
PRECTOTCORR_SUM,2018,0.01,1.59,3.59,2.08,0.3,13.51,33.83,173.25,179.79,38.91,9.25,0.2,456.31
PRECTOTCORR_SUM,2019,16.19,1.12,1.21,0.22,0.56,15.4,21.43,217.82,136.34,88.29,1.74,4.67,504.99
PRECTOTCORR_SUM,2020,1.5,23.56,66.94,64.44,2.18,12.76,136.48,186.92,320.72,156.87,0.9,22.87,996.14
